Stream.Name,Station.Name,Parameter,Date,Comments,Rain.in.Last.24.Hours,Sky.Condition,Final_Value,Month,Year
Eno River,EN8.9ER,Total Phosphorus,2019-02-12, ,Yes,Partly Cloudy,0.01,2,2019
Eno River,EN8.9ER,Total Phosphorus,2019-03-12, ,Yes,Partly Cloudy,0.06,3,2019
Eno River,EN8.9ER,Total Phosphorus,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,0.38,4,2019
Eno River,EN8.9ER,Total Phosphorus,2019-05-14, ,Yes,Sunny,0.04,5,2019
Eno River,EN8.9ER,Total Phosphorus,2019-06-11,High flow,Yes,Sunny,0.1,6,2019
Eno River,EN8.9ER,Total Phosphorus,2019-07-16,Duplicate Site Duplicate,Yes,Sunny,0.03,7,2019
Eno River,EN8.9ER,Total Phosphorus,2019-08-13, ,No,Sunny,0.03,8,2019
Eno River,EN8.9ER,Total Phosphorus,2019-09-10, ,No,Partly Cloudy,0.02,9,2019
Eno River,EN8.9ER,Total Phosphorus,2019-10-08, ,No,Overcast,0.02,10,2019
Eno River,EN8.9ER,Total Phosphorus,2019-11-12,Raining,Yes,Overcast,0.02,11,2019
Eno River,EN8.9ER,Total Phosphorus,2019-12-04, ,No,Sunny,0.05,12,2019
Eno River,EN8.9ER,Total Phosphorus,2020-01-07,raining,Yes,Overcast,0.06,1,2020
Eno River,EN8.9ER,Total Phosphorus,2020-02-04,starting to rain,Yes,Overcast,0.04,2,2020
Eno River,EN8.9ER,Total Phosphorus,2020-03-03, ,No,Overcast,0.03,3,2020
Eno River,EN8.9ER,Total Phosphorus,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Duplicate",No,Partly Cloudy,0.035,5,2020
Eno River,EN8.9ER,Total Phosphorus,2020-06-09, ,,,0.04,6,2020
Eno River,EN8.9ER,Total Phosphorus,2020-07-07, ,Yes,Partly Cloudy,0.04,7,2020
Eno River,EN8.9ER,Total Phosphorus,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,0.05,8,2020
Eno River,EN8.9ER,Total Phosphorus,2020-09-01,very high flow,Yes,Overcast,0.13,9,2020
Eno River,EN8.9ER,Total Phosphorus,2020-10-06, ,No,Sunny,0.003,10,2020
Eno River,EN8.9ER,Total Phosphorus,2020-11-03, ,No,Sunny,0.14,11,2020
Eno River,EN8.9ER,Total Phosphorus,2020-12-01, ,Yes,Partly Cloudy,0.06,12,2020
Eno River,EN8.9ER,Total Suspended Solids,2019-01-15,Duplicate Site Duplicate,No,Partly Cloudy,9.7,1,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-02-12, ,Yes,Partly Cloudy,2.5,2,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-03-12, ,Yes,Partly Cloudy,5,3,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,134,4,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-05-14, ,Yes,Sunny,5.2,5,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-06-11,High flow,Yes,Sunny,18.7,6,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-07-16,Duplicate Site Duplicate,Yes,Sunny,2.6,7,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-08-13, ,No,Sunny,3.4,8,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-09-10, ,No,Partly Cloudy,2.5,9,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-10-08, ,No,Overcast,4.2,10,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-11-12,Raining,Yes,Overcast,2.5,11,2019
Eno River,EN8.9ER,Total Suspended Solids,2019-12-04, ,No,Sunny,4.8,12,2019
Eno River,EN8.9ER,Total Suspended Solids,2020-01-07,raining,Yes,Overcast,7.9,1,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-02-04,starting to rain,Yes,Overcast,6,2,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-03-03, ,No,Overcast,3.3,3,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Duplicate",No,Partly Cloudy,6.25,5,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-06-09, ,,,3.3,6,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-07-07, ,Yes,Partly Cloudy,3.8,7,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,29.5,8,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-09-01,very high flow,Yes,Overcast,50.5,9,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-10-06, ,No,Sunny,8.7,10,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-11-03, ,No,Sunny,3.7,11,2020
Eno River,EN8.9ER,Total Suspended Solids,2020-12-01, ,Yes,Partly Cloudy,32.4,12,2020
Eno River,EN8.9ER,Turbidity,2019-01-15,Duplicate Site,No,Partly Cloudy,24.4,1,2019
Eno River,EN8.9ER,Turbidity,2019-02-12, ,Yes,Partly Cloudy,5.2,2,2019
Eno River,EN8.9ER,Turbidity,2019-03-12, ,Yes,Partly Cloudy,11.1,3,2019
Eno River,EN8.9ER,Turbidity,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,150,4,2019
Eno River,EN8.9ER,Turbidity,2019-05-14, ,Yes,Sunny,6.7,5,2019
Eno River,EN8.9ER,Turbidity,2019-06-11,High flow,Yes,Sunny,32.1,6,2019
Eno River,EN8.9ER,Turbidity,2019-07-16,Duplicate Site,Yes,Sunny,3.1,7,2019
Eno River,EN8.9ER,Turbidity,2019-08-13, ,No,Sunny,5,8,2019
Eno River,EN8.9ER,Turbidity,2019-09-10, ,No,Partly Cloudy,2.3,9,2019
Eno River,EN8.9ER,Turbidity,2019-10-08, ,No,Overcast,4.9,10,2019
Eno River,EN8.9ER,Turbidity,2019-11-12,Raining,Yes,Overcast,4.5,11,2019
Eno River,EN8.9ER,Turbidity,2019-12-04, ,No,Sunny,11.7,12,2019
Eno River,EN8.9ER,Turbidity,2020-01-07,raining,Yes,Overcast,22.4,1,2020
Eno River,EN8.9ER,Turbidity,2020-02-04,starting to rain,Yes,Overcast,15.9,2,2020
Eno River,EN8.9ER,Turbidity,2020-03-03, ,No,Overcast,8.3,3,2020
Eno River,EN8.9ER,Turbidity,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020",No,Partly Cloudy,7.7,5,2020
Eno River,EN8.9ER,Turbidity,2020-06-09,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020",No,Overcast,5.4,6,2020
Eno River,EN8.9ER,Turbidity,2020-07-07, ,Yes,Partly Cloudy,7.8,7,2020
Eno River,EN8.9ER,Turbidity,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,50.2,8,2020
Eno River,EN8.9ER,Turbidity,2020-09-01,very high flow,Yes,Overcast,54.4,9,2020
Eno River,EN8.9ER,Turbidity,2020-10-06, ,No,Sunny,12,10,2020
Eno River,EN8.9ER,Turbidity,2020-11-03, ,No,Sunny,7.8,11,2020
Eno River,EN8.9ER,Turbidity,2020-12-01, ,Yes,Partly Cloudy,55.2,12,2020
Eno River,EN8.9ER,Zinc,2019-01-15,Duplicate Site Duplicate,No,Partly Cloudy,5.25,1,2019
Eno River,EN8.9ER,Zinc,2019-02-12, ,Yes,Partly Cloudy,4.449999999999999,2,2019
Eno River,EN8.9ER,Zinc,2019-03-12, ,Yes,Partly Cloudy,14.25,3,2019
Eno River,EN8.9ER,Zinc,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,11.55,4,2019
Eno River,EN8.9ER,Zinc,2019-05-14, ,Yes,Sunny,11.100000000000001,5,2019
Eno River,EN8.9ER,Zinc,2019-06-11,High flow,Yes,Sunny,10.3,6,2019
Eno River,EN8.9ER,Zinc,2019-07-16,Duplicate Site Duplicate,Yes,Sunny,4.975,7,2019
Eno River,EN8.9ER,Zinc,2019-08-13, ,No,Sunny,7.35,8,2019
Eno River,EN8.9ER,Zinc,2019-09-10, ,No,Partly Cloudy,5.4,9,2019
Eno River,EN8.9ER,Zinc,2019-10-08, ,No,Overcast,4.3,10,2019
Eno River,EN8.9ER,Zinc,2019-11-12,Raining,Yes,Overcast,5.9,11,2019
Eno River,EN8.9ER,Zinc,2019-12-04, ,No,Sunny,8.1,12,2019
Eno River,EN8.9ER,Zinc,2020-01-07,raining,Yes,Overcast,6.2,1,2020
Eno River,EN8.9ER,Zinc,2020-02-04,starting to rain,Yes,Overcast,19.2,2,2020
Eno River,EN8.9ER,Zinc,2020-03-03, ,No,Overcast,3.9,3,2020
Eno River,EN8.9ER,Zinc,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Duplicate",No,Partly Cloudy,3.95,5,2020
Eno River,EN8.9ER,Zinc,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,3.3,8,2020
Eno River,EN8.9ER,Zinc,2020-09-01,very high flow,Yes,Overcast,2.505,9,2020
Eno River,EN8.9ER,Zinc,2020-10-06, ,No,Sunny,1.8250000000000002,10,2020
Eno River,EN8.9ER,Zinc,2020-11-03, ,No,Sunny,0.71,11,2020
Eno River,EN8.9ER,Zinc,2020-12-01, ,Yes,Partly Cloudy,2.705,12,2020
